544,9.13E-01,9.94E-01,2.53E-03,9.76E-01,0.242
546,9.25E-01,9.89E-01,2.16E-03,9.84E-01,0.227
548,9.35E-01,9.80E-01,1.84E-03,9.91E-01,0.209
550,9.45E-01,9.69E-01,1.57E-03,9.95E-01,0.194
552,9.56E-01,9.59E-01,1.34E-03,9.98E-01,0.181
554,9.67E-01,9.47E-01,1.14E-03,9.99E-01,0.171
556,9.76E-01,9.34E-01,9.80E-04,1.00E+00,0.155
558,9.85E-01,9.18E-01,8.39E-04,9.99E-01,0.147
560,9.92E-01,9.00E-01,7.20E-04,9.95E-01,0.139
562,9.96E-01,8.79E-01,6.18E-04,9.90E-01,0.127
564,1.00E+00,8.56E-01,5.31E-04,9.83E-01,0.12
566,1.00E+00,8.31E-01,4.58E-04,9.74E-01,0.111
568,9.99E-01,8.04E-01,3.94E-04,9.64E-01,0.104
570,9.98E-01,7.75E-01,3.40E-04,9.52E-01,0.102
572,9.94E-01,7.44E-01,2.94E-04,9.39E-01,0.097
574,9.86E-01,7.11E-01,2.54E-04,9.24E-01,0.092
576,9.78E-01,6.78E-01,2.20E-04,9.07E-01,0.083
578,9.68E-01,6.45E-01,1.90E-04,8.89E-01,0.085
580,9.58E-01,6.12E-01,1.65E-04,8.70E-01,0.081
582,9.50E-01,5.80E-01,1.43E-04,8.50E-01,0.081
584,9.42E-01,5.49E-01,1.24E-04,8.28E-01,0.079
586,9.32E-01,5.18E-01,1.08E-04,8.05E-01,0.078
588,9.20E-01,4.87E-01,9.39E-05,7.81E-01,0.078
590,9.07E-01,4.56E-01,8.18E-05,7.57E-01,0.077
592,8.92E-01,4.26E-01,7.13E-05,7.33E-01,0.082
594,8.73E-01,3.95E-01,6.22E-05,7.08E-01,0.083
596,8.54E-01,3.66E-01,5.44E-05,6.82E-01,0.089
598,8.33E-01,3.37E-01,4.75E-05,6.57E-01,0.097
600,8.10E-01,3.10E-01,4.16E-05,6.31E-01,0.107
602,7.86E-01,2.84E-01,3.64E-05,6.05E-01,0.119
