Wvlngth.	W/m2	% supp
424	0.029	0.2100
424	0.046	0.3400
424	0.103	0.5400
456	0.020	0.1500
456	0.041	0.3200
456	0.087	0.5000
456	0.305	0.6500
472	0.018	0.1200
472	0.027	0.1500
472	0.042	0.1900
472	0.088	0.5100
472	0.215	0.6700
472	0.303	0.6700
496	0.029	0.1600
496	0.060	0.3100
496	0.120	0.4500
496	0.172	0.5200
496	0.244	0.5800
496	0.289	0.5900
520	0.065	0.2300
520	0.157	0.4700
520	0.306	0.5700
520	0.382	0.6200
520	0.573	0.6700
548	0.134	0.1800
548	0.258	0.3500
548	0.472	0.4500
548	0.684	0.4700
